Date,City,Temperature,Humidity,Wind Speed,Rainfall
14-02-2023,New York,25.32634418,43.33302161,8.669177995,10
15-02-2023,Los Angeles,20.77278457,60.04031027,9.565296112,15
16-02-2023,Chicago,23.50198036,79.65728137,11.92067532,10
17-02-2023,Chicago,22.54729255,64.73623388,9.961108266,0
18-02-2023,Phoenix,25.5622454,66.31800636,11.27238861,0
19-02-2023,Los Angeles,28.21282293,57.93827852,11.50482834,15
20-02-2023,Chicago,28.3016156,65.23157563,10.08508624,15
21-02-2023,Phoenix,33.73484323,74.44898404,6.513940363,5
22-02-2023,Houston,22.78180911,53.2944346,15.39226735,0
23-02-2023,Houston,32.07897323,71.63634661,8.255667216,0
24-02-2023,Phoenix,21.22041259,77.10642703,10.46036475,5
25-02-2023,Los Angeles,25.65031435,60.9213996,12.13250566,0
26-02-2023,New York,34.24099713,68.78370047,8.845570553,0
27-02-2023,Chicago,35.58065798,68.33905835,14.94186489,0
28-02-2023,Houston,21.38845886,68.05301656,9.249001706,0
01-03-2023,Phoenix,18.57857663,59.26255277,10.30362209,0
02-03-2023,New York,27.78318701,75.6154046,10.95897126,0
03-03-2023,Chicago,24.47152038,50.42521677,11.69796865,0
04-03-2023,Houston,27.58840571,58.75262408,10.64745541,0
05-03-2023,Chicago,23.53310392,54.99527297,10.90430759,15
06-03-2023,Phoenix,28.56431266,53.20408908,10.20049218,10
07-03-2023,Chicago,27.7917362,58.90635516,6.716245359,0
08-03-2023,Chicago,22.44117124,80.41147485,7.12553925,15
09-03-2023,Houston,19.6620752,64.75289451,6.31779932,0
10-03-2023,New York,28.37722085,45.39739987,5.801553871,0
11-03-2023,Houston,27.52617098,71.85159157,9.505319268,15
12-03-2023,Phoenix,29.06157978,79.27619968,7.329337952,0
13-03-2023,New York,23.63806176,60.22076815,10.54168545,5
14-03-2023,New York,26.26770314,83.21655781,12.00635659,5
15-03-2023,New York,23.35267773,64.16326606,13.70343033,0
16-03-2023,Phoenix,23.83070197,66.02873629,12.24408622,0
17-03-2023,New York,25.09043045,69.45005417,14.6266303,15
18-03-2023,Los Angeles,34.87364138,58.76625369,11.98098056,0
19-03-2023,New York,30.21044524,64.61431184,7.86613192,0
20-03-2023,Phoenix,19.59970762,75.97104742,9.395775217,0
21-03-2023,Chicago,21.75049488,80.39886196,9.607555823,0
22-03-2023,New York,29.91059715,50.50994097,10.42230358,0
23-03-2023,New York,26.45517113,76.03147633,7.546982882,0
24-03-2023,Chicago,15.9574559,67.11090513,11.57620666,0
25-03-2023,Phoenix,26.14700808,71.89572154,8.789506857,0
26-03-2023,New York,27.74431319,63.20562594,9.481859716,5
27-03-2023,Los Angeles,32.94360948,54.21319791,8.278872647,10
28-03-2023,Chicago,24.97594101,61.27041552,11.50733353,0
29-03-2023,Chicago,27.64395106,63.35062805,11.58315704,0
30-03-2023,Houston,28.5943516,59.17587402,7.492930463,5
31-03-2023,Houston,25.72575894,66.46258041,14.39372614,5
01-04-2023,Houston,24.11064133,58.07937686,11.83100373,0
02-04-2023,Los Angeles,16.69740729,48.03296743,10.22547671,0
03-04-2023,Houston,17.22730254,60.05814637,7.488556693,0
04-04-2023,Houston,36.04913222,67.34925789,12.96323408,15
05-04-2023,Houston,32.03668525,56.55480424,10.10956995,0
06-04-2023,Los Angeles,20.08239791,59.87383755,10.57157382,15
07-04-2023,Phoenix,27.10088423,64.19535224,11.5904859,10
08-04-2023,New York,26.39134754,69.58923799,10.76989725,0
09-04-2023,Phoenix,19.95875613,36.87321694,8.77645038,0
10-04-2023,Phoenix,31.04938995,62.66823746,6.759175114,0
